ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count	Category	Part
GO:0010431	seed maturation	6/23	153/33985	7.148185025562565e-10	1.279525119575699e-7	5.041351544344125e-8	Glyma.03G163467/Glyma.03G163533/Glyma.08G172800/Glyma.10G037100/Glyma.10G189900/Glyma.20G201000	6	GO	Cotyledon
GO:0042735	protein body	3/23	16/33985	1.50744600858294e-7	7.853182783824462e-6	3.094167871309844e-6	Glyma.03G163467/Glyma.03G163533/Glyma.10G037100	3	GO	Cotyledon
GO:0071695	anatomical structure maturation	6/23	382/33985	1.6654983661727251e-7	7.853182783824462e-6	3.094167871309844e-6	Glyma.03G163467/Glyma.03G163533/Glyma.08G172800/Glyma.10G037100/Glyma.10G189900/Glyma.20G201000	6	GO	Cotyledon
GO:0048609	multicellular organismal reproductive process	6/23	396/33985	2.057402213178706e-7	7.853182783824462e-6	3.094167871309844e-6	Glyma.03G163467/Glyma.03G163533/Glyma.08G172800/Glyma.10G037100/Glyma.10G189900/Glyma.20G201000	6	GO	Cotyledon
GO:0032504	multicellular organism reproduction	6/23	412/33985	2.5952298400866595e-7	7.853182783824462e-6	3.094167871309844e-6	Glyma.03G163467/Glyma.03G163533/Glyma.08G172800/Glyma.10G037100/Glyma.10G189900/Glyma.20G201000	6	GO	Cotyledon
GO:0021700	developmental maturation	6/23	413/33985	2.632351771114345e-7	7.853182783824462e-6	3.094167871309844e-6	Glyma.03G163467/Glyma.03G163533/Glyma.08G172800/Glyma.10G037100/Glyma.10G189900/Glyma.20G201000	6	GO	Cotyledon
GO:0016705	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen	6/23	494/33985	7.488790402451587e-7	1.914990688626906e-5	7.545097097206862e-6	Glyma.02G298600/Glyma.03G019800/Glyma.07G081700/Glyma.10G189900/Glyma.19G240800/Glyma.20G201000	6	GO	Cotyledon
GO:0045735	nutrient reservoir activity	3/23	28/33985	8.771966283373085e-7	1.9627274559047278e-5	7.733180802447324e-6	Glyma.03G163467/Glyma.03G163533/Glyma.10G037100	3	GO	Cotyledon
GO:0009269	response to desiccation	3/23	56/33985	7.331261097153471e-6	1.4581063737671902e-4	5.7449648363658774e-5	Glyma.10G189900/Glyma.16G031300/Glyma.20G201000	3	GO	Cotyledon
GO:0045544	gibberellin 20-oxidase activity	2/23	11/33985	2.4007174308702884e-5	4.297284201257816e-4	1.693137556508519e-4	Glyma.03G019800/Glyma.07G081700	2	GO	Cotyledon
GO:0042759	long-chain fatty acid biosynthetic process	2/23	12/33985	2.8796744017377008e-5	4.686015617373168e-4	1.8462984202528802e-4	Glyma.10G189900/Glyma.20G201000	2	GO	Cotyledon
GO:0031408	oxylipin biosynthetic process	2/23	15/33985	4.5756422681975867e-05	6.8253330500614e-4	2.6891932628880555e-4	Glyma.10G189900/Glyma.20G201000	2	GO	Cotyledon
GO:0001676	long-chain fatty acid metabolic process	2/23	19/33985	7.439493472211645e-5	0.0010243610242506803	4.0360005071917425e-4	Glyma.10G189900/Glyma.20G201000	2	GO	Cotyledon
GO:0031407	oxylipin metabolic process	2/23	21/33985	9.128697782039275e-5	0.0011671692164178789	4.5986673037340717e-4	Glyma.10G189900/Glyma.20G201000	2	GO	Cotyledon
GO:0034389	lipid droplet organization	2/23	22/33985	1.0037433049735141e-4	0.00119780034393506	4.7193544865421365e-4	Glyma.10G189900/Glyma.20G201000	2	GO	Cotyledon
GO:0012511	monolayer-surrounded lipid storage body	2/23	23/33985	1.0988852779658194e-4	0.001201055568006549	4.732180126812043e-4	Glyma.10G189900/Glyma.20G201000	2	GO	Cotyledon
GO:0051213	dioxygenase activity	3/23	140/33985	1.1406672992240968e-4	0.001201055568006549	4.732180126812043e-4	Glyma.03G019800/Glyma.07G081700/Glyma.13G347500	3	GO	Cotyledon
GO:0004497	monooxygenase activity	4/23	398/33985	1.3754423976659945e-4	0.0013678010510122945	5.389160271556821e-4	Glyma.02G298600/Glyma.10G189900/Glyma.19G240800/Glyma.20G201000	4	GO	Cotyledon
GO:0006636	unsaturated fatty acid biosynthetic process	2/23	30/33985	1.8839497085546778e-4	0.001605842846815654	6.327049146524482e-4	Glyma.10G189900/Glyma.20G201000	2	GO	Cotyledon
GO:0019915	lipid storage	2/23	30/33985	1.8839497085546778e-4	0.001605842846815654	6.327049146524482e-4	Glyma.10G189900/Glyma.20G201000	2	GO	Cotyledon
GO:0033559	unsaturated fatty acid metabolic process	2/23	30/33985	1.8839497085546778e-4	0.001605842846815654	6.327049146524482e-4	Glyma.10G189900/Glyma.20G201000	2	GO	Cotyledon
GO:0071215	cellular response to abscisic acid stimulus	4/23	470/33985	2.595902812442791e-4	0.00202028958011852	7.95997658735318e-4	Glyma.02G264700/Glyma.03G163467/Glyma.03G163533/Glyma.10G037100	4	GO	Cotyledon
GO:0097306	cellular response to alcohol	4/23	470/33985	2.595902812442791e-4	0.00202028958011852	7.95997658735318e-4	Glyma.02G264700/Glyma.03G163467/Glyma.03G163533/Glyma.10G037100	4	GO	Cotyledon
GO:0016706	2-oxoglutarate-dependent dioxygenase activity	2/23	50/33985	5.261881255622161e-4	0.003924486436484862	0.001546254579503004	Glyma.03G019800/Glyma.07G081700	2	GO	Cotyledon
GO:0032879	regulation of localization	3/23	249/33985	6.174624215041856e-4	0.0044210309379699685	0.001741893989085492	Glyma.02G264700/Glyma.10G189900/Glyma.20G201000	3	GO	Cotyledon
GO:0009686	gibberellin biosynthetic process	2/23	56/33985	6.598626752988701e-4	0.004542900726096068	0.001789910900608271	Glyma.03G019800/Glyma.07G081700	2	GO	Cotyledon
GO:0048572	short-day photoperiodism	2/23	63/33985	8.344196683116349e-4	0.00531433858940837	0.0020938587797139714	Glyma.03G019800/Glyma.07G081700	2	GO	Cotyledon
GO:0048575	short-day photoperiodism, flowering	2/23	63/33985	8.344196683116349e-4	0.00531433858940837	0.0020938587797139714	Glyma.03G019800/Glyma.07G081700	2	GO	Cotyledon
GO:0005811	lipid droplet	2/23	64/33985	8.609822295689538e-4	0.00531433858940837	0.0020938587797139714	Glyma.10G189900/Glyma.20G201000	2	GO	Cotyledon
GO:0009685	gibberellin metabolic process	2/23	72/33985	0.0010880169730570388	0.006346732216383874	0.0025006236900777393	Glyma.03G019800/Glyma.07G081700	2	GO	Cotyledon
GO:0010118	stomatal movement	3/23	304/33985	0.0010991547413849168	0.006346732216383874	0.0025006236900777393	Glyma.02G264700/Glyma.10G189900/Glyma.20G201000	3	GO	Cotyledon
GO:0004866	endopeptidase inhibitor activity	2/23	78/33985	0.001275142584490732	0.006856751264256173	0.0027015720947084015	Glyma.08G341000/Glyma.09G158600	2	GO	Cotyledon
GO:0061135	endopeptidase regulator activity	2/23	78/33985	0.001275142584490732	0.006856751264256173	0.0027015720947084015	Glyma.08G341000/Glyma.09G158600	2	GO	Cotyledon
GO:0016102	diterpenoid biosynthetic process	2/23	79/33985	0.001307725424723033	0.006856751264256173	0.0027015720947084015	Glyma.03G019800/Glyma.07G081700	2	GO	Cotyledon
GO:0030414	peptidase inhibitor activity	2/23	80/33985	0.0013407055544634977	0.006856751264256173	0.0027015720947084015	Glyma.08G341000/Glyma.09G158600	2	GO	Cotyledon
GO:0061134	peptidase regulator activity	2/23	82/33985	0.0014078556619636256	0.007000171208096916	0.0027580798056012546	Glyma.08G341000/Glyma.09G158600	2	GO	Cotyledon
GO:0051235	maintenance of location	2/23	92/33985	0.0017672722366682601	0.008549776496314014	0.0033686270229523027	Glyma.10G189900/Glyma.20G201000	2	GO	Cotyledon
GO:0009845	seed germination	3/23	378/33985	0.0020492745864704154	0.009653161867847483	0.0038033628059146217	Glyma.03G163467/Glyma.03G163533/Glyma.10G037100	3	GO	Cotyledon
GO:0016101	diterpenoid metabolic process	2/23	102/33985	0.0021657648276381327	0.009940305234544249	0.003916497798967743	Glyma.03G019800/Glyma.07G081700	2	GO	Cotyledon
IPR006044	11-S seed storage protein, plant	3/26	13/37487	8.431102052781929e-8	2.076646851143063e-6	7.08954828270747e-7	Glyma.03G163467/Glyma.03G163533/Glyma.10G037100	3	InterPro	Cotyledon
IPR006045	Cupin 1	4/26	64/37487	1.1225118114286828e-7	2.076646851143063e-6	7.08954828270747e-7	Glyma.03G163467/Glyma.03G163533/Glyma.10G037100/Glyma.20G148200	4	InterPro	Cotyledon
IPR011051	RmlC-like cupin domain superfamily	4/26	119/37487	1.3671020373131158e-6	1.6860925126861763e-5	5.756219104476278e-6	Glyma.03G163467/Glyma.03G163533/Glyma.10G037100/Glyma.20G148200	4	InterPro	Cotyledon
