BioProject	BioSample	Run	before_nreads	before_nbases	before_q20bases	before_q30bases	before_q20rate	before_q30rate	before_GCcontent	before_meanlength	after_nreads	after_nbases	after_q20bases	after_q30bases	after_q20rate	after_q30rate	after_GCcontent	after_meanlength	filter_n_passed	filter_n_lowquality	filter_n_too_many_N	filter_n_tooshort	filter_n_toolong	duplication_rate
PRJDB3474	SAMD00025071	DRR029571	12346873	777852999	771139217	745755298	0.991369	0.958736	0.470471	63	12056202	759145722	754489736	730893038	0.993867	0.962784	0.47011	62	12056202	3	166437	124231	0	0.318336
PRJDB3474	SAMD00025072	DRR029572	3736298	235386774	233506368	226281201	0.992011	0.961317	0.467382	63	3570201	224593806	223348447	216851002	0.994455	0.965525	0.466885	62	3570201	7	44031	122059	0	0.210526
PRJDB3474	SAMD00025073	DRR029573	9930655	625631265	620813799	601559418	0.9923	0.961524	0.462851	63	9788283	616401531	612907371	594723983	0.994331	0.964832	0.462942	62	9788283	3	111685	30684	0	0.287879
PRJDB3474	SAMD00025074	DRR029574	3737893	235487259	233407809	225556952	0.99117	0.957831	0.470374	63	3531344	222046199	220693756	213784096	0.993909	0.962791	0.467749	62	3531344	4	44300	162245	0	0.225229
PRJDB3474	SAMD00025075	DRR029575	3461562	218078406	215822000	208186338	0.989653	0.95464	0.483339	63	3155865	198061072	196773631	190372842	0.9935	0.961183	0.481282	62	3155865	7	45824	259866	0	0.32285
PRJDB3474	SAMD00025076	DRR029576	5357961	337551543	334646766	323731500	0.991395	0.959058	0.470306	63	5144797	323804085	321875331	311969172	0.994043	0.96345	0.469313	62	5144797	0	63267	149897	0	0.229456
PRJDB3582	SAMD00027203	DRR031435	501229480	50122948000	47718663152	46077450805	0.952032	0.919289	0.443919	100	460103772	45575568038	45069272447	43684201075	0.988891	0.9585	0.443107	99	460103772	38561278	2452250	112180	0	0.457162
PRJDB7219	SAMD00133783	DRR146878	21524347	1033168656	1009131818	967041772	0.976735	0.935996	0.486284	48	20844485	1000007274	979861069	939143031	0.979854	0.939136	0.48583	47	20844485	132731	0	547131	0	0.880472
PRJDB7219	SAMD00133784	DRR146879	25722969	1234702512	1209254726	1164389737	0.97939	0.943053	0.451935	48	25173511	1208139642	1186186084	1142862167	0.981829	0.945969	0.450285	47	25173511	116266	0	433192	0	0.840033
PRJDB7219	SAMD00133785	DRR146880	14564447	699093456	683654224	658080579	0.977915	0.941334	0.453051	48	14221917	682528475	669329573	644800608	0.980662	0.944723	0.451242	47	14221917	70792	0	271738	0	0.799396
PRJDB7219	SAMD00133786	DRR146881	19387192	930585216	909317021	871809702	0.977145	0.93684	0.45588	48	18789062	901688278	884011757	848334498	0.980396	0.940829	0.453362	47	18789062	114824	0	483306	0	0.804426
PRJDB7219	SAMD00133787	DRR146882	17219931	826556688	807725832	775854610	0.977218	0.938659	0.465251	48	16862110	809089751	793304458	762541933	0.98049	0.942469	0.463944	47	16862110	105073	0	252748	0	0.773222
PRJDB7219	SAMD00133788	DRR146883	19264260	924684480	902358033	862486176	0.975855	0.932736	0.483449	48	17907777	859003423	840955234	805035997	0.978989	0.937174	0.478958	47	17907777	109285	0	1247198	0	0.804406
PRJDB7011	SAMD00117541	DRR155004	41777274	4219504674	4093291879	3905796229	0.970088	0.925653	0.432798	101	40922726	4126441510	4024960289	3854239768	0.975407	0.934035	0.433045	100	40922726	782748	2098	69702	0	0.666188
PRJDB7011	SAMD00117542	DRR155005	50345888	5084934688	4931498765	4701568963	0.969825	0.924608	0.433899	101	49358288	4975432840	4852338758	4642906212	0.97526	0.933166	0.434226	100	49358288	957054	2516	28030	0	0.641156
PRJDB7011	SAMD00117543	DRR155006	140248964	14165145364	13736766335	13065817106	0.969758	0.922392	0.464419	101	137086690	13799081717	13452022954	12841416411	0.974849	0.930599	0.464319	100	137086690	2502622	6530	653122	0	0.670056
PRJDB7011	SAMD00117544	DRR155007	46501190	4696620190	4552307581	4339038729	0.969273	0.923864	0.431663	101	45562190	4593545859	4477888884	4283747063	0.974822	0.932558	0.43217	100	45562190	905958	2326	30716	0	0.648013
