BioSample	BioProject	Mapping_rate
SAMN02197697	PRJNA208048	64.4059
SAMN02197702	PRJNA208048	80.7998
SAMN02197698	PRJNA208048	56.266
SAMN01832614	PRJNA184365	82.8618
SAMN01832613	PRJNA184365	88.5165
SAMN01832612	PRJNA184365	89.3645
SAMN01832611	PRJNA184365	92.6472
SAMN01832610	PRJNA184365	94.8149
SAMN01832609	PRJNA184365	95.3494
SAMN01832608	PRJNA184365	95.423
SAMN01832607	PRJNA184365	95.2704
SAMN01832606	PRJNA184365	94.1293
SAMN01832605	PRJNA184365	89.3078
SAMN01832604	PRJNA184365	94.0936
SAMN01832603	PRJNA184365	75.9028
SAMN01832602	PRJNA184365	91.8425
SAMN01832601	PRJNA184365	94.076
SAMN01832600	PRJNA184365	88.8174
SAMN01832599	PRJNA184365	86.63
SAMEA4395183	PRJEB15247	91.3311
SAMEA4395182	PRJEB15247	91.22
SAMEA4395181	PRJEB15247	91.0755
SAMEA4395180	PRJEB15247	91.5416
SAMEA4395179	PRJEB15247	91.4612
SAMEA4395178	PRJEB15247	91.7255
SAMEA4395177	PRJEB15247	90.6416
SAMEA4395176	PRJEB15247	90.8995
SAMEA4395175	PRJEB15247	90.8581
SAMEA4395174	PRJEB15247	90.8267
SAMEA4395173	PRJEB15247	91.7378
SAMEA4395172	PRJEB15247	91.3227
SAMN05291176	PRJNA326705	90.9307
SAMN04305372	PRJNA304631	89.7198
SAMN04305371	PRJNA304631	92.2202
SAMN04305370	PRJNA304631	93.0662
SAMN04305369	PRJNA304631	93.3368
SAMN04305368	PRJNA304631	89.3136
SAMN04305389	PRJNA304631	92.6731
SAMN04305388	PRJNA304631	91.8823
SAMN04305387	PRJNA304631	92.7624
SAMN04305386	PRJNA304631	91.9529
SAMN04305385	PRJNA304631	85.5601
SAMN04305384	PRJNA304631	88.8968
SAMN04305383	PRJNA304631	87.7185
SAMN04305367	PRJNA304631	86.2591
SAMN04305390	PRJNA304631	81.866
SAMN04305382	PRJNA304631	88.6574
SAMN04305381	PRJNA304631	94.4357
SAMN04305404	PRJNA304631	94.0259
SAMN04305403	PRJNA304631	94.7078
SAMN04305402	PRJNA304631	94.5866
SAMN04305401	PRJNA304631	93.9134
SAMN04305400	PRJNA304631	94.0199
SAMN04305399	PRJNA304631	93.0044
SAMN04305398	PRJNA304631	92.7945
SAMN04305397	PRJNA304631	93.539
SAMN04305396	PRJNA304631	92.2462
SAMN04305395	PRJNA304631	91.9035
SAMN04305394	PRJNA304631	91.6646
SAMN04305393	PRJNA304631	89.9716
SAMN04305392	PRJNA304631	89.4516
SAMN04305391	PRJNA304631	90.4681
SAMN05258403	PRJNA326110	93.1443
SAMN05258403	PRJNA326110	93.1443
SAMN05258403	PRJNA326110	93.1443
SAMN05258403	PRJNA326110	93.1443
SAMN05258403	PRJNA326110	93.1443
SAMN05258402	PRJNA326110	91.7588
SAMN05258402	PRJNA326110	91.7588
SAMN05258402	PRJNA326110	91.7588
SAMN05258402	PRJNA326110	91.7588
SAMN05258402	PRJNA326110	91.7588
SAMN05258401	PRJNA326110	89.6645
SAMN05258401	PRJNA326110	89.6645
SAMN05258401	PRJNA326110	89.6645
SAMN05258401	PRJNA326110	89.6645
SAMN05258401	PRJNA326110	89.6645
SAMN05258400	PRJNA326110	89.8129
SAMN05258400	PRJNA326110	89.8129
SAMN05258400	PRJNA326110	89.8129
SAMN05258400	PRJNA326110	89.8129
SAMN05258400	PRJNA326110	89.8129
SAMN05258399	PRJNA326110	90.0436
SAMN05258399	PRJNA326110	90.0436
SAMN05258399	PRJNA326110	90.0436
SAMN05258399	PRJNA326110	90.0436
SAMN05258399	PRJNA326110	90.0436
SAMN05258398	PRJNA326110	90.1676
SAMN05258398	PRJNA326110	90.1676
SAMN05258398	PRJNA326110	90.1676
SAMN05258398	PRJNA326110	90.1676
SAMN05258398	PRJNA326110	90.1676
SAMN05258397	PRJNA326110	89.4461
SAMN05258397	PRJNA326110	89.4461
SAMN05258397	PRJNA326110	89.4461
SAMN05258397	PRJNA326110	89.4461
SAMN05258397	PRJNA326110	89.4461
SAMN05258396	PRJNA326110	89.3945
SAMN05258396	PRJNA326110	89.3945
SAMN05258396	PRJNA326110	89.3945
SAMN05258396	PRJNA326110	89.3945
SAMN05258396	PRJNA326110	89.3945
SAMN05258395	PRJNA326110	88.4632
SAMN05258395	PRJNA326110	88.4632
SAMN05258395	PRJNA326110	88.4632
SAMN05258395	PRJNA326110	88.4632
SAMN05258395	PRJNA326110	88.4632
SAMN05258394	PRJNA326110	88.9221
SAMN05258394	PRJNA326110	88.9221
SAMN05258394	PRJNA326110	88.9221
SAMN05258394	PRJNA326110	88.9221
SAMN05258394	PRJNA326110	88.9221
SAMN05223305	PRJNA325298	91.991
SAMN05223304	PRJNA325298	89.4024
SAMN05223303	PRJNA325298	91.4445
SAMN05223302	PRJNA325298	92.3794
SAMN05223301	PRJNA325298	92.3843
SAMN05223300	PRJNA325298	91.352
SAMN05223299	PRJNA325298	90.8948
SAMN05223298	PRJNA325298	91.5104
SAMN05223297	PRJNA325298	90.4015
SAMN05223296	PRJNA325298	90.0997
SAMN05223295	PRJNA325298	92.671
SAMN05223294	PRJNA325298	90.87
SAMN05223311	PRJNA325298	90.096
SAMN05223310	PRJNA325298	91.624
SAMN05223309	PRJNA325298	87.22
SAMN05223308	PRJNA325298	88.267
SAMN05223307	PRJNA325298	89.1539
SAMN05223306	PRJNA325298	88.6588
SAMN04932642	PRJNA320340	93.5584
SAMN04932641	PRJNA320340	94.2263
SAMN04932642	PRJNA320340	93.5584
SAMN04932641	PRJNA320340	94.2263
SAMN04932648	PRJNA320340	93.0451
SAMN04932647	PRJNA320340	93.8729
SAMN04932646	PRJNA320340	94.7712
SAMN04932648	PRJNA320340	93.0451
SAMN04932647	PRJNA320340	93.8729
SAMN04932646	PRJNA320340	94.7712
SAMN04932648	PRJNA320340	93.0451
SAMN04932647	PRJNA320340	93.8729
SAMN04932646	PRJNA320340	94.7712
SAMN04932645	PRJNA320340	94.3428
SAMN04932644	PRJNA320340	94.1427
SAMN04932643	PRJNA320340	94.3025
SAMN04932645	PRJNA320340	94.3428
SAMN04932644	PRJNA320340	94.1427
SAMN04932643	PRJNA320340	94.3025
SAMN04932645	PRJNA320340	94.3428
SAMN04932644	PRJNA320340	94.1427
SAMN04932643	PRJNA320340	94.3025
SAMN04932640	PRJNA320340	95.1012
SAMN04932640	PRJNA320340	95.1012
SAMN04932642	PRJNA320340	93.5584
SAMN04932641	PRJNA320340	94.2263
SAMN04932640	PRJNA320340	95.1012
SAMN04932639	PRJNA320340	93.0355
SAMN04932638	PRJNA320340	94.0398
SAMN04932637	PRJNA320340	94.4853
SAMN04932639	PRJNA320340	93.0355
SAMN04932638	PRJNA320340	94.0398
SAMN04932637	PRJNA320340	94.4853
SAMN04932639	PRJNA320340	93.0355
SAMN04932638	PRJNA320340	94.0398
SAMN04932637	PRJNA320340	94.4853
SAMN04388366	PRJNA308211	0.03124
SAMN04388365	PRJNA308211	0.043975
SAMN04388364	PRJNA308211	0.0147082
SAMN04388362	PRJNA308211	0.0685715
SAMN04388361	PRJNA308211	0.780817
SAMN04388360	PRJNA308211	0.211954
SAMN04388359	PRJNA308211	0.580767
SAMN04388358	PRJNA308211	0.716074
SAMN04388357	PRJNA308211	46.3742
SAMN04388356	PRJNA308211	45.7938
SAMN04388355	PRJNA308211	45.7798
SAMN04388354	PRJNA308211	49.3596
SAMN04563601	PRJNA315512	72.812
SAMN04563600	PRJNA315512	68.967
SAMN04563599	PRJNA315512	68.1752
SAMN04563598	PRJNA315512	69.3325
SAMN04563597	PRJNA315512	70.4999
SAMN04563596	PRJNA315512	71.5278
SAMN04563595	PRJNA315512	73.3914
SAMN04563594	PRJNA315512	74.5018
SAMN04563593	PRJNA315512	76.4736
SAMN04563592	PRJNA315512	77.2486
SAMN04563591	PRJNA315512	66.6484
SAMN04563590	PRJNA315512	70.0954
SAMN04563589	PRJNA315512	70.6015
SAMN04563588	PRJNA315512	69.0286
SAMN04563587	PRJNA315512	73.2518
SAMN04563586	PRJNA315512	74.5541
SAMN04563585	PRJNA315512	76.1569
SAMN04563584	PRJNA315512	75.8085
SAMN04563583	PRJNA315512	77.798
SAMN04563582	PRJNA315512	76.9079
SAMN04338534	PRJNA306049	0.00101467
SAMN04338533	PRJNA306049	0.00294261
SAMN04338532	PRJNA306049	3.22828e-4
SAMN04338531	PRJNA306049	9.43281e-4
SAMN04338530	PRJNA306049	0.00872952
SAMN04338529	PRJNA306049	0.00368872
SAMN04338528	PRJNA306049	0.00353107
SAMN04338527	PRJNA306049	8.22553e-4
SAMN04338526	PRJNA306049	2.36464e-4
SAMN04338525	PRJNA306049	3.44636e-4
SAMN04338524	PRJNA306049	59.9769
SAMN04338523	PRJNA306049	51.2905
SAMN04338522	PRJNA306049	49.1675
SAMN04338521	PRJNA306049	52.7321
SAMN03797952	PRJNA288296	91.306
SAMN03797952	PRJNA288296	91.306
SAMN03797952	PRJNA288296	91.306
SAMN03797951	PRJNA288296	93.6187
SAMN03797951	PRJNA288296	93.6187
SAMN03797951	PRJNA288296	93.6187
SAMN03797950	PRJNA288296	92.759
SAMN03797950	PRJNA288296	92.759
SAMN03797950	PRJNA288296	92.759
SAMN03797939	PRJNA288296	92.0527
SAMN03797939	PRJNA288296	92.0527
SAMN03797939	PRJNA288296	92.0527
SAMN03755600	PRJNA285677	53.6245
SAMN03755599	PRJNA285677	51.3002
SAMN03755598	PRJNA285677	54.9548
SAMN03755597	PRJNA285677	50.7784
SAMN03755596	PRJNA285677	55.1019
SAMN03755595	PRJNA285677	54.8652
SAMN03755630	PRJNA285677	49.9787
SAMN03755629	PRJNA285677	52.9325
SAMN03755628	PRJNA285677	54.6282
SAMN03755627	PRJNA285677	56.2518
SAMN03755626	PRJNA285677	48.1399
SAMN03755625	PRJNA285677	54.9547
SAMN03755624	PRJNA285677	54.3619
SAMN03755623	PRJNA285677	56.3741
SAMN03755622	PRJNA285677	51.179
SAMN03755621	PRJNA285677	55.0396
SAMN03755620	PRJNA285677	55.6727
SAMN03755619	PRJNA285677	49.694
SAMN03755618	PRJNA285677	53.4933
SAMN03755617	PRJNA285677	49.2904
SAMN03755616	PRJNA285677	57.9824
SAMN03755615	PRJNA285677	53.2934
SAMN03755614	PRJNA285677	53.1859
SAMN03755613	PRJNA285677	58.3001
SAMN03755612	PRJNA285677	51.1167
SAMN03755610	PRJNA285677	55.4703
SAMN03755609	PRJNA285677	57.3535
SAMN03755608	PRJNA285677	53.0317
SAMN03755607	PRJNA285677	52.0004
SAMN03755606	PRJNA285677	58.3512
SAMN03755605	PRJNA285677	57.7167
SAMN03755604	PRJNA285677	53.2011
SAMN03755603	PRJNA285677	54.3559
SAMN03755602	PRJNA285677	57.2177
SAMN03755601	PRJNA285677	56.467
SAMN03755611	PRJNA285677	54.3606
SAMN03473681	PRJNA280872	67.1792
SAMN03473680	PRJNA280872	90.3203
SAMN03473679	PRJNA280872	82.2886
SAMN03473678	PRJNA280872	67.8562
SAMN03473677	PRJNA280872	81.4744
SAMN03473676	PRJNA280872	78.891
SAMN03473675	PRJNA280872	92.7184
SAMN03473674	PRJNA280872	90.346
SAMN03473673	PRJNA280872	78.6436
SAMN03473672	PRJNA280872	81.9925
SAMN03473671	PRJNA280872	62.8722
SAMN03473690	PRJNA280872	92.0306
SAMN03473689	PRJNA280872	80.2164
SAMN03473688	PRJNA280872	83.3004
SAMN03473687	PRJNA280872	91.6917
SAMN03473686	PRJNA280872	79.1416
SAMN03473685	PRJNA280872	90.4996
SAMN03473684	PRJNA280872	87.5406
SAMN03473683	PRJNA280872	86.5715
SAMN03473682	PRJNA280872	90.0207
SAMN03406699	PRJNA278121	89.5656
SAMN03406704	PRJNA278121	91.4547
SAMN03406698	PRJNA278121	91.2972
SAMN03406705	PRJNA278121	90.3371
SAMN03406708	PRJNA278121	92.0702
SAMN03406700	PRJNA278121	92.176
SAMN03406701	PRJNA278121	4.52806
SAMN03406707	PRJNA278121	91.3737
SAMN03406709	PRJNA278121	92.4676
SAMN03406710	PRJNA278121	91.8307
SAMN03406703	PRJNA278121	91.6527
SAMN03406706	PRJNA278121	91.0675
SAMN03406702	PRJNA278121	91.578
SAMN03406693	PRJNA278121	92.1419
SAMN03406695	PRJNA278121	90.6907
SAMN03406694	PRJNA278121	91.0314
SAMN03406696	PRJNA278121	84.8477
SAMN03406697	PRJNA278121	91.0342
SAMN03274496	PRJNA271477	86.5887
SAMN03274494	PRJNA271477	91.8768
SAMN03274477	PRJNA271477	90.7956
SAMN03274492	PRJNA271477	90.3813
SAMN03274476	PRJNA271477	88.0879
SAMN03274487	PRJNA271477	89.9952
SAMN03274478	PRJNA271477	84.4447
SAMN03274499	PRJNA271477	90.7346
SAMN03274474	PRJNA271477	88.1355
SAMN03274493	PRJNA271477	91.0052
SAMN03274497	PRJNA271477	89.357
SAMN03274491	PRJNA271477	88.7724
SAMN03274500	PRJNA271477	90.8445
SAMN03274483	PRJNA271477	91.6503
SAMN03274481	PRJNA271477	89.9319
SAMN03274473	PRJNA271477	89.1024
SAMN03274490	PRJNA271477	88.0711
SAMN03274484	PRJNA271477	88.45
SAMN03274482	PRJNA271477	88.0896
SAMN03274485	PRJNA271477	88.6627
SAMN03274489	PRJNA271477	88.36
SAMN03274480	PRJNA271477	89.0055
SAMN03274498	PRJNA271477	88.3108
SAMN03274495	PRJNA271477	93.0492
SAMN03274479	PRJNA271477	87.7658
SAMN03274488	PRJNA271477	90.3628
SAMN03274475	PRJNA271477	89.4116
SAMN03274486	PRJNA271477	92.2502
SAMN03274472	PRJNA271477	90.9047
SAMN03274471	PRJNA271477	90.2399
SAMN03274466	PRJNA271477	90.9014
SAMN03274467	PRJNA271477	91.1777
SAMN03274470	PRJNA271477	91.8748
SAMN03274469	PRJNA271477	91.6998
SAMN03274468	PRJNA271477	90.0375
SAMN03274465	PRJNA271477	88.7387
SAMN03299425	PRJNA273870	73.9142
SAMN02944900	PRJNA256960	89.3289
SAMN02944899	PRJNA256960	90.3296
SAMN02944898	PRJNA256960	91.3867
SAMN02944897	PRJNA256960	92.6927
SAMN02944896	PRJNA256960	86.8696
SAMN02944895	PRJNA256960	90.3499
SAMN02944894	PRJNA256960	93.0159
SAMN02944893	PRJNA256960	92.6561
SAMN02944892	PRJNA256960	92.1963
SAMN02944891	PRJNA256960	92.0541
SAMN02944890	PRJNA256960	88.491
SAMN02944889	PRJNA256960	88.62
SAMN03083700	PRJNA262564	91.9378
SAMN03083699	PRJNA262564	90.7206
SAMN03083698	PRJNA262564	91.0957
SAMN03083697	PRJNA262564	91.4666
SAMN03083696	PRJNA262564	91.0717
SAMN03083695	PRJNA262564	91.1521
SAMN03083694	PRJNA262564	91.5093
SAMN03083693	PRJNA262564	91.7378
SAMN03083692	PRJNA262564	90.9527
SAMN03083691	PRJNA262564	91.6191
SAMN03083690	PRJNA262564	91.1494
SAMN03083689	PRJNA262564	91.8819
SAMN03083688	PRJNA262564	91.5311
SAMN03083687	PRJNA262564	90.8948
SAMN03083686	PRJNA262564	92.5231
SAMN03083685	PRJNA262564	92.7556
SAMN03083685	PRJNA262564	92.7556
SAMN03083685	PRJNA262564	92.7556
SAMN03083684	PRJNA262564	91.7809
SAMN03083684	PRJNA262564	91.7809
SAMN03083684	PRJNA262564	91.7809
SAMN03083683	PRJNA262564	92.1278
SAMN03083683	PRJNA262564	92.1278
SAMN03083683	PRJNA262564	92.1278
SAMN03083682	PRJNA262564	92.4388
SAMN03083682	PRJNA262564	92.4388
SAMN03083682	PRJNA262564	92.4388
