Gene	Tau	Classification	Specific_parts
Glyma.01G000100	0.2091295788621455	Broad	NA
Glyma.01G000137	0.5513916013713324	Broad	NA
Glyma.01G000174	0.34776228767360234	Broad	NA
Glyma.01G000211	0.42380531900830865	Broad	NA
Glyma.01G000248	0.31610317714817415	Broad	NA
Glyma.01G000285	0.41694988869937677	Broad	NA
Glyma.01G000322	0.42083625861297314	Broad	NA
Glyma.01G000359	0.6085151075359012	Broad	NA
Glyma.01G000400	0.3093804158063683	Broad	NA
Glyma.01G000600	0.3162040628134044	Broad	NA
Glyma.01G000900	0.26680162121317674	Broad	NA
Glyma.01G001000	0.18676213194594787	Broad	NA
Glyma.01G001100	0.3469866640469941	Broad	NA
Glyma.01G001300	0.2479865851381084	Broad	NA
Glyma.01G001700	0.2168650938147989	Broad	NA
Glyma.01G002100	0.5117040867536358	Broad	NA
Glyma.01G002200	0.36303269865506615	Broad	NA
Glyma.01G002400	0.4383521106823833	Broad	NA
Glyma.01G002600	0.4646122920757518	Broad	NA
Glyma.01G002700	0.3209195647067122	Broad	NA
Glyma.01G002902	0.6787972926243435	Broad	NA
Glyma.01G003000	0.6590612795834693	Broad	NA
Glyma.01G003100	0.21097033561529993	Broad	NA
Glyma.01G003600	0.16478139504119754	Broad	NA
Glyma.01G003700	0.22933779020750308	Broad	NA
Glyma.01G003800	0.16486246307710473	Broad	NA
Glyma.01G004000	0.6842497894772535	Broad	NA
Glyma.01G004100	0.48958903270729587	Broad	NA
Glyma.01G004200	0.47100918523183055	Broad	NA
Glyma.01G004300	0.2810886895039788	Broad	NA
Glyma.01G004500	0.2365504184643524	Broad	NA
Glyma.01G004600	0.5549667608805888	Broad	NA
Glyma.01G004700	0.3670047362538013	Broad	NA
Glyma.01G004800	0.7761562499591411	Broad	NA
Glyma.01G005000	0.5418342283984517	Broad	NA
Glyma.01G005100	0.7858084132937846	Broad	NA
Glyma.01G005200	0.5378311178443648	Broad	NA
Glyma.01G005300	0.15981508497037855	Broad	NA
Glyma.01G005400	0.41238080993412146	Broad	NA
Glyma.01G005600	0.7083833586742375	Broad	NA
Glyma.01G006000	0.48648865299516164	Broad	NA
Glyma.01G006100	0.2825004801147787	Broad	NA
Glyma.01G006200	0.2827484123362763	Broad	NA
Glyma.01G006300	0.585604667693765	Broad	NA
Glyma.01G006400	0.20476123599679888	Broad	NA
